id,country,country_code,document,photo_size,output_pixels,file_size,head_height_rule,background,notes,official_source,official_source_url,verified_date
sg_passport,Singapore,SG,Singapore Passport,Digital 400x514 px (e-services upload),400x514 px,max 8 MB,ISO/ICAO-based head proportions (ICA references ISO & ICAO specifications),Plain white or light background,"Digital colour photograph taken within the last 3 months; must not be altered or enhanced (no facial-feature modification, no editing software). Formats: jpg, jpeg, heic, heif, png. ICA photo guidelines verified 2026-08-09.",Immigration & Checkpoints Authority (ICA) — Photo Guidelines,https://www.ica.gov.sg/photo-guidelines,2026-08-19
my_evisa,Malaysia,MY,Malaysia e-Visa,35x50 mm,600 dpi,10 - 350 KB,Head height (top of hair) about 32.5 mm; 5 mm from top of photo to top of hair,White background,"e-Visa photo uploaded on the official MyVISA portal (malaysiavisa.imi.gov.my). Requirement table verified 2026-08-17 via visafoto.com which cites the official portal URL: 35×50 mm, 600 dpi, 10–350 KB, head height (top of hair) 32.5 mm, top gap 5 mm, white background; official page unreachable from this network.","Immigration Department of Malaysia — MyVISA e-Visa portal (requirement table via visafoto.com, verified 2026-08-17)",https://malaysiavisa.imi.gov.my/evisa/evisa.jsp,2026-08-17
vn_visa,Vietnam,VN,Vietnam e-Visa,40x60 mm,300 dpi,max 45 KB,Head height (top of hair) about 40 mm; 6 mm from top of photo to top of hair,White background,Photo for the Vietnam e-Visa portal (evisa.gov.vn). Cross-checked against visafoto.com aggregation; official page pending browser re-check.,Vietnam National E-Visa system,https://evisa.gov.vn/,2026-08-09
ae_visa,United Arab Emirates,AE,UAE Visa,43x55 mm,300 dpi,,Head height (top of hair) about 40 mm; 5 mm from top of photo to top of hair,White background,"UAE / Dubai visa photo. Verified 2026-08-17 against aipassportphoto.com (43×55 mm / 507×649 px / head 38.5–41.25 mm = 70–75% / white background) and visafoto.com aggregation (43×55 mm, head 39–41 mm, matte paper, ≤40 KB electronic); the official UAE portal (u.ae / ICP smart services) is JS-shell and pending browser re-check.",UAE visa photo (aipassportphoto.com cross-check; official ICP portal pending),https://aipassportphoto.com/uae-visa-photo/,2026-08-17
sa_evisa,Saudi Arabia,SA,Saudi Arabia e-Visa,200x200 px,200x200 px,5 - 100 KB,Head height about 70% of photo height; 7% from top of photo to top of hair,White background,Photo for the Visit Saudi e-Visa application. Official photo specifications page referenced by the visa portal.,Visit Saudi — Photo Specifications,https://visa.visitsaudi.com/Home/PhotoSpecifications,2026-08-19
nz_passport,New Zealand,NZ,New Zealand Passport,Digital 1500x2000 px,1500x2000 px,250 KB - 10 MB,Head height about 70% of photo height; eye line about 54% from bottom of photo,Plain light background,Digital passport photo for online application. Cross-checked against visafoto.com aggregation; official page (passports.govt.nz) blocks bots — pending browser re-check.,Passports (Department of Internal Affairs) — passport photo requirements,https://www.passports.govt.nz/passport-photos/passport-photo-requirements/,2026-08-09
mm_visa,Myanmar (Burma),MM,Myanmar e-Visa,38x46 mm,300 dpi,,Head height about 33 mm; 3 mm from top of photo to top of hair,White background,Photo for the Myanmar e-Visa portal (evisa.moip.gov.mm). Cross-checked against visafoto.com aggregation; official page pending browser re-check.,Myanmar e-Visa portal,http://evisa.moip.gov.mm,2026-08-09
au_passport,Australia,AU,Australia Passport,35–40 x 45–50 mm (printed photos),,,Face height (chin to crown) 32–36 mm,Plain white or light grey,"Official rule verified live 2026-08-09 on passports.gov.au/help/passport-photos: photos less than 6 months old; good quality colour prints produced by dye sublimation on heavy glossy paper (min 200 gsm); clear in-focus image, no marks or red-eye; no retouching (e.g. removing moles, wrinkles or scars); no shadows/reflections; head not tilted; edges of face clearly visible; age 3+ must face straight on with eyes open and neutral expression. 2 printed photos required when applying.",passports.gov.au — Passport photos (Australian Passport Office),https://www.passports.gov.au/help/passport-photos,2026-08-09
au_visa,Australia,AU,Australia Visa,35–40 x 45–50 mm (passport-standard photo),600 dpi,,Face height (chin to crown) 32–36 mm,Plain white or light grey,"Australia visa photos follow the passport photo standard (passports.gov.au/help/passport-photos, verified live 2026-08-09): photo less than 6 months old, no retouching, no shadows, head not tilted. Official Form 1419 PDF (immi.homeaffairs.gov.au) pending browser re-check.",Home Affairs (immi.gov.au) — Form 1419,https://immi.homeaffairs.gov.au/form-listing/forms/1419.pdf,2026-08-09
uz_visa,Uzbekistan,UZ,Uzbekistan Visa,35x45 mm,300 dpi,,Head height (top of hair) about 34.5 mm; 3 mm from top of photo to top of hair,"Plain background, no shadows",Photo works for both online and paper visa applications. Cross-checked against visafoto.com aggregation; official page pending browser re-check.,Uzbekistan MFA — e-Visa portal,https://evisa.mfa.uz/evisa_en/,2026-08-09
nz_visa_online,New Zealand,NZ,New Zealand Visa (online photo),"Digital JPG/JPEG, 3:4 portrait (online upload)",,512 KB – 3.14 MB (online upload),,"Plain, no shadows; good contrast with face","Official rule verified live 2026-08-09 on immigration.govt.nz: photo taken within the last 6 months; must not be edited or AI-altered (no background replacement, no face edits). visafoto also lists 1650x2200 px with head height about 72% as an additional reference.",Immigration New Zealand — Acceptable photos for a visa or NZeTA,https://www.immigration.govt.nz/new-zealand-visas/apply-for-a-visa/tools-and-information/acceptable-photos,2026-08-19
sg_visa_online,Singapore,SG,Singapore Visa (online photo),400x514 px,300 dpi,10 – 60 KB,Head height (top of hair) about 74%; 9% from top of photo to top of hair,Plain white or light background,"Photo for the ICA APPLES online visa submission. Verified 2026-08-17 against visafoto.com and passport-photo.online requirement tables (400×514 px, JPEG ≤60 KB, head height 74%, top gap 9%, white/light background); official ICA portal unreachable from this network.","Immigration & Checkpoints Authority (ICA) — APPLES e-services (requirement tables via visafoto.com / passport-photo.online, verified 2026-08-17)",https://apples.ica.gov.sg/apples/index.xhtml,2026-08-17
my_passport,Malaysia,MY,Malaysia Passport,35x50 mm,400 dpi,100 KB – 1 MB,Head height (top of hair) about 29 mm; 10 mm from top of photo to top of hair,White background,Malaysian international passport photo. Cross-checked against visafoto.com aggregation; official page (imi.gov.my) pending browser re-check.,Immigration Department of Malaysia (imi.gov.my),https://www.imi.gov.my/index.php/en/main-services/passport/malaysian-international-passport.html,2026-08-09
in_passport_oci,India,IN,India OCI (Overseas Citizen) — online photo,"2x2 in (51x51 mm), colour",300 dpi,Max 200 KB,Head height (top of hair to bottom of chin) 1 to 1-3/8 in (25–35 mm); eye height 1-1/8 to 1-3/8 in,"Plain light-coloured background, no shadows","Official rule verified live 2026-08-09 from ociservices.gov.in Photo-Spec-FINAL.pdf: full face front view, eyes open and level, head centred in frame, full head from top of hair to bottom of chin visible, natural expression, no retouching/enhancing; head coverings only for religious reasons (face from chin to forehead and both edges must be clearly shown). India documents render only on the India subdomain (india.examidphoto.com), not the main site.",OCI services (ociservices.gov.in) — photo specification,https://ociservices.gov.in/Photo-Spec-FINAL.pdf,2026-08-09
ae_passport,United Arab Emirates,AE,UAE Passport,4x6 cm (40x60 mm),600 dpi,,ISO/ICAO-based head proportions (ICA references ISO & ICAO specifications),White or light background,UAE passport photo 4x6 cm. Size cross-checked against visafoto.com aggregation; official page pending browser re-check.,Federal Authority for Identity and Citizenship (ICP) — passport photo requirements,https://icp.gov.ae/en/,2026-08-10
mm_passport,Myanmar (Burma),MM,Myanmar Passport,35x45 mm,300 dpi,,ISO/ICAO-based head proportions (ICA references ISO & ICAO specifications),White or light background,Myanmar passport photo 35x45 mm. Size cross-checked against visafoto.com aggregation; official page pending browser re-check.,Myanmar Department of Immigration — passport services,https://www.immigration.gov.mm/,2026-08-10
sa_passport,Saudi Arabia,SA,Saudi Arabia Passport,480x640 px (4x6 cm),480x640 px,,Head height about 38 mm; 6 mm from top of photo to top of hair,White background,Saudi Arabia passport photo (online 480x640 px). Cross-checked against passport-photo.online aggregation; official page pending browser re-check.,Saudi Passports Authority — passport photo,https://www.my.gov.sa/,2026-08-10
uz_passport,Uzbekistan,UZ,Uzbekistan Passport,35x45 mm,300 dpi,,ISO/ICAO-based head proportions (ICA references ISO & ICAO specifications),White or light background,Uzbekistan passport photo 35x45 mm. Size cross-checked against visafoto.com aggregation; official page pending browser re-check.,Uzbekistan MFA — e-Visa portal (passport-standard photo),https://evisa.mfa.uz/evisa_en/,2026-08-10
vn_passport,Vietnam,VN,Vietnam Passport,40x60 mm,600 dpi,,Head height about 39 mm; eye line about 36 mm from bottom of photo,White background,"Vietnam passport photo 4x6 cm (40x60 mm), 600 dpi. Cross-checked against passport-photo.online aggregation; official page pending browser re-check.",Vietnam Immigration Department — passport photo requirements,https://xuatnhapcanh.gov.vn/,2026-08-10
us_green_card,United States,US,US Green Card (Form I-485),2x2 in (51x51 mm),1200x1200 px (600 dpi),,"Head height 25-35 mm (1-1 3/8 in, about 50-69% of photo height); eye height 1 1/8-1 3/8 in from top of eyes to bottom of photo","White to off-white, glossy print, unretouched",Two identical colour passport-style photos taken recently; full face frontal view; head bare unless religious headwear required; print name and A-Number (if any) on the back. Must not be retouched or altered in any way. Form I-485 instructions 01/20/25.,USCIS — Form I-485 Instructions (page 10),https://www.uscis.gov/sites/default/files/document/forms/i-485instr.pdf,2026-08-18
us_ead,United States,US,US Employment Authorization / EAD (Form I-765),2x2 in (51x51 mm),1200x1200 px (600 dpi),,"Head height 25-35 mm (1-1 3/8 in, about 50-69% of photo height); eye height 1 1/8-1 3/8 in from top of eyes to bottom of photo","White to off-white, glossy print, unretouched",Two identical colour passport-style photographs taken recently; full face frontal view; head bare unless religious headwear required; print name and A-Number (if any) on the back. Must not be retouched or altered in any way. Same photo rule as Form I-485; Form I-765 instructions.,USCIS — Form I-765 Instructions (photographs section),https://www.uscis.gov/sites/default/files/document/forms/i-765instr.pdf,2026-08-18
us_dv_lottery,United States,US,US Diversity Visa Lottery (DV-2026),2x2 in (51x51 mm); upload 600x600 px,600x600 px,"JPEG, max 240 KB",Head height 50-69% of photo height (1-1 3/8 in on 2 in),Plain white or near-white,"Taken within the last 6 months; front view, neutral expression, eyes open; everyday clothing (no uniforms; religious daily headwear allowed but must not cover the hairline); no text, logos or other items; no shadows or glare; file must be a JPEG no larger than 240 KB. DV-2026 Plain Language Instructions PDF (pages 10-12).",U.S. Department of State — DV-2026 Instructions,https://travel.state.gov/content/dam/visas/Diversity-Visa/DV-Instructions-Translations/DV-2026-Instructions-Translations/DV%202026%20Plain%20Language%20Instructions%20and%20FAQs.pdf,2026-08-11
ca_pr_card,Canada,CA,Canada Permanent Resident Card,50x70 mm (2 x 2 3/4 in),1181x1654 px (600 dpi),,"Chin to crown (top of head, not including hair) 31-36 mm (about 44-51% of photo height)","Plain, untextured white","Two identical photos; taken no more than 12 months before applying; colour or black and white; clear/sharp focus, uniform lighting, no shadows/glare/flash; neutral expression, mouth closed, eyes open, looking directly at the camera; professionally printed on plain high-quality photo paper (home printing on heavyweight paper not accepted); original photo, not altered in any way; avoid white clothing or white religious head coverings.",canada.ca — Permanent resident photos,https://www.canada.ca/en/immigration-refugees-citizenship/services/permanent-residents/card/photos.html,2026-08-19
uk_driving_licence,United Kingdom,GB,UK Driving Licence,Passport-type photo (digital upload or printed 45x35 mm),827x1063 px (600 dpi),,Passport standard: crown to chin 29-34 mm (64-76% of photo height),Plain light-coloured (DVLA: passport-type photo),"DVLA photo change/renewal: you can use your passport photo or upload a new one (£14 online); postal D1 applications require a recent printed passport-type photo. The photo must be unaltered by computer software; plain light-coloured background, no shadows.",gov.uk — Change the photo on your driving licence,https://www.gov.uk/renew-photo-driving-licence,2026-08-19
ke_eta,Kenya,KE,Kenya eTA,2×2 in (51×51 mm) digital upload (passport-standard),600×600 px,≤ 240 KB JPEG,Head height about 50–69% of photo height (passport standard),"Plain light background, passport-style","Kenya eTA required for US, UK and Canada citizens before travel. Official How to Apply page verified in a live browser (2026-08-17): it lists ""selfie or passport-type photo"" among the required documents and publishes no pixel dimensions; the online form accepts a digital photo upload. We deliver the passport standard 2×2 in / 600×600 px file (head 50–69% per US passport convention, aipassportphoto cross-check).","Kenya Directorate of Immigration Services — eTA portal (How to Apply, verified live 2026-08-17)",https://etakenya.go.ke/how-to-apply,2026-08-19
india_evisa,India,IN,India e-Visa,2x2 in (51x51 mm) @300 dpi,600x600 px,10 KB - 1 MB,Head height about 64.5% of photo height (crown to chin),Plain light / white,Square JPEG; no AI editing; verify against the official portal before use.,indianvisaonline.gov.in - e-Visa photo requirements,https://indianvisaonline.gov.in/evisa/tvoa.html,2026-08-19
br_visa,Brazil,BR,Brazil e-Visa,35×45 mm (digital upload),413×531 px @300 dpi,10 - 300 KB JPEG,Head height (top of hair) about 68% of photo height; about 7% from top of photo to top of hair,"Plain white background, no shadows","Brazil e-Visa is required for US citizens (since April 2025) and for Australia, Canada and Japan nationals; UK and Canada citizens are visa-exempt. Digital application is submitted on the official MRE form (formulario-mre.serpro.gov.br). Photo spec cross-checked 2026-08-17 against visafoto.com (413×531 px / 10–300 KB / head 68%, citing the VFS official preparation page) and passport-photo.online (431×531 px / head 70% / top 5.2%); the official gov.br portal is WAF-protected from this network. Note: US-consulate paper applications use the 2×2 in standard instead; we deliver the e-Visa digital-upload format as the primary spec.",Brazil MRE e-Visa application — formulario-mre.serpro.gov.br (visafoto/passport-photo.online cross-check),https://formulario-mre.serpro.gov.br,2026-08-17
eg_visa,Egypt,EG,Egypt e-Visa,40×60 mm (4×6 cm),500×750 px @300 dpi,≤ 240 KB JPEG,Head height about 38 mm (≈63% of photo height); about 6 mm from top of photo to top of hair,"Plain white background, no shadows","Egypt e-Visa application (visa2egypt.gov.eg) requires a white-background passport photo. Official FAQ/How-to-Apply pages verified in a live browser (2026-08-17) publish no pixel dimensions; accepted standard per visafoto.com (Egypt visa page) and passport-photo.online (Egypt passport page) is 40×60 mm, head ≈38 mm (63%), top gap 6 mm, white background, taken within 6 months. US, UK and Canada citizens can also get a visa on arrival — the same photo is used for the arrival form.",Egypt e-Visa portal — visa2egypt.gov.eg (FAQ/How-to-Apply verified live 2026-08-17; dimensions per visafoto/passport-photo cross-check),https://visa2egypt.gov.eg,2026-08-17
id_evoa,Indonesia,ID,Indonesia e-VOA,4×6 cm (40×60 mm),500×750 px,≤ 240 KB JPEG,"Official registration page publishes no head-height ratio; ≈70% head height, ~7% top gap targeted per common visa-photo standard (visafoto cross-check).","White / light neutral background, no shadows","Indonesia e-VOA (electronic visa on arrival) required for US, UK and Canada citizens. Verified on the official portal (evisa.imigrasi.go.id, register page): upload the latest color photo, face forward, size 4 x 6 cm with a resolution of at least 400 x 600 pixels, in JPEG/JPG/PNG format. Product delivers 500×750 px (≥ official 400×600 minimum).",Indonesia Directorate General of Immigration — evisa.imigrasi.go.id,https://evisa.imigrasi.go.id,2026-08-17
kh_visa,Cambodia,KH,Cambodia e-Visa,35×45 mm,827×1063 px,≤ 240 KB JPEG,Head height ≈64% of photo height (official requirement).,Plain white background,"Cambodia e-Visa required for US, UK and Canada citizens. Official portal (evisa.gov.kh) lists a passport photo as a required document (FAQ section 'Photo'). 35×45 mm (ICAO standard), plain white background, JPEG — cross-checked on official portal + visa-photo aggregators (visafoto, passport-photo.online). Official portal does not print a pixel size; verified_date = date of portal check.",Cambodia Ministry of Foreign Affairs — evisa.gov.kh,https://www.evisa.gov.kh,2026-08-17
tz_visa,Tanzania,TZ,Tanzania e-Visa,35×45 mm (45 mm length × 35 mm width),827×1063 px,≤ 500 KB JPEG/JPG (official),"No head-height ratio published; photo max 45 mm (length) × 35 mm (width), ≤500 KB, JPG/JPEG.","Plain background, no distracting shadows","Tanzania e-Visa required for US, UK and Canada citizens. Official guidelines state photo must not exceed 45×35 mm, ≤500KB, JPG/JPEG; glasses allowed, head coverings only for religious reasons. Verified directly on the official portal (visa.immigration.go.tz guidelines).",Tanzania Immigration — visa.immigration.go.tz (Guidelines),https://visa.immigration.go.tz,2026-08-17
sa_visa,Saudi Arabia,SA,Saudi Arabia e-Visa,200×200 px (digital upload),200×200 px,5–100 KB (official),"Face 70–80% of photo (official Photo Specifications page); 200×200 px, 5–100 KB, white background.",Plain white background,"Saudi e-Visa available online for US, UK and Canada citizens. Official Photo Specifications page: 200×200 px, image size 5–100 KB, white background, photo no more than 6 months old, face 70–80% of frame. Verified directly on the official portal (visa.visitsaudi.com/Home/PhotoSpecifications).",Saudi Arabia e-Visa — visa.visitsaudi.com Photo Specifications,https://visa.visitsaudi.com/Home/PhotoSpecifications,2026-08-19
om_visa,Oman,OM,Oman e-Visa,4×6 cm (40×60 mm),500×750 px,≤ 240 KB JPEG,"Head height ≈63% (38 mm of 60 mm, visa-photo standard cross-check); official FAQ only states ≤512 KB file size.",Plain white background,"Oman e-Visa required for US, UK and Canada citizens. Official portal FAQ (evisa.rop.gov.om, en/frequently-asked-questions): 'File size for passport and picture: not more than 512 KB'. Photo upload required in application; no pixel size published — 4×6 cm (40×60 mm) per visa-photo aggregator cross-check (aipassportphoto.com: 40×60 mm).",Royal Oman Police — evisa.rop.gov.om,https://evisa.rop.gov.om,2026-08-17
ug_visa,Uganda,UG,Uganda e-Visa,2×2 in (51×51 mm),600×600 px,≤ 240 KB JPEG,"Passport-standard 2×2 in; head height 1–1⅜ in (≈50–69% of photo height, US passport convention).",Plain white background,"Uganda e-Visa required for US, UK and Canada citizens. Verified on the official portal (visas.immigration.go.ug application flow): documents list requires 'Recent Passport-size Photograph' (all visa categories). No pixel size published — 2×2 in (51×51 mm) / 600×600 px per visa-photo aggregator cross-check (aipassportphoto.com).",Uganda Directorate of Citizenship and Immigration Control — visas.immigration.go.ug,https://visas.immigration.go.ug,2026-08-17
mg_visa,Madagascar,MG,Madagascar e-Visa,35×45 mm (passport standard),827×1063 px,≤ 240 KB JPEG,"Head height 32–36 mm (=71–80% of the 45 mm height, official spec text quoted by visafoto).",Plain white background,"Madagascar e-Visa available online for US, UK and Canada citizens. Official portal evisamada.gov.mg (the only official site; evisamada-mg.com is a commercial proxy) was unreachable from abroad on 2026-08-17 — TLS handshake reset via US egress proxy; external fetcher r.jina.ai also timed out. Official spec text as quoted by visafoto: printed photo 35–45 mm wide × 45–55 mm high, head height 32–36 mm, plain white background, eyes open looking straight at the camera; glasses only for medical reasons (doctor's letter required). Our 35×45 mm output is within the official range; the 32–36 mm head-height rule maps to our 70–80% head-height check (71–80% of 45 mm).",Madagascar e-Visa — evisamada.gov.mg (unreachable from abroad 2026-08-17; official spec text via visafoto quoting official requirements),https://evisamada.gov.mg,2026-08-17
et_visa,Ethiopia,ET,Ethiopia e-Visa,35×45 mm (passport standard),827×1063 px,≤ 240 KB JPEG,Passport-sized photo (official); ≈62–78% head height targeted per common ICAO passport standard.,Plain white background,"Ethiopia e-Visa available online for US, UK and Canada citizens. Verified on the official portal (evisa.gov.et/information): 'A scanned color copy of the passport and a color passport-sized photo are required.' No pixel size published — 35×45 mm ICAO passport standard assumed.",Ethiopia e-Visa — evisa.gov.et,https://www.evisa.gov.et,2026-08-17
la_visa,Laos,LA,Laos e-Visa,4×6 cm (40×60 mm),500×750 px,≤ 240 KB JPEG,"No head-height ratio published in official FAQ; 4×6 cm, white background, recent, full-face, eyes open.","Plain white background, no shadows","Laos e-Visa available online for US, UK and Canada citizens. Official FAQ (laoevisa.gov.la/faq): photo must be 4×6 cm, in colour, taken within the last 6 months, no shadows, plain white background, facing camera, neutral expression, both eyes open (ICAO standard). Verified directly on the official portal.",Lao Official Online Visa — laoevisa.gov.la (FAQ),https://laoevisa.gov.la/faq,2026-08-19
az_visa,Azerbaijan,AZ,Azerbaijan e-Visa,35×45 mm (passport standard),827×1063 px,≤ 240 KB JPEG,Passport-standard head height,Plain white background,"Azerbaijan ASAN e-Visa available online for US, UK and Canada citizens. OFFICIAL FLOW CHECK (2026-08-17): the official 'Conditions for issuing electronic visas' page (evisa.gov.az/en/conditions) states the application attaches 'the scanned page of a travel document with a photo' (passport bio page); no standalone photo upload is specified on the official portal or public pages. Per project policy (Turkey precedent: no photo field → no photo product), EXCLUDED from the product lineup. 35×45 mm entry kept for reference only.",Azerbaijan ASAN e-Visa — evisa.gov.az,https://evisa.gov.az,2026-08-17
